id,category,baseline_words,baseline_validation,baseline_reframing,baseline_process,baseline_outcome,nishkama_words,nishkama_validation,nishkama_reframing,nishkama_process,nishkama_outcome
P01,failure,151,1.9867549668874172,2.6490066225165565,1.9867549668874172,0.0,145,0.6896551724137931,1.3793103448275863,1.3793103448275863,1.3793103448275863
P18,betrayal,108,1.8518518518518519,0.9259259259259259,0.0,0.0,147,0.6802721088435374,2.0408163265306123,0.6802721088435374,0.0
P17,burnout,146,0.684931506849315,0.0,0.0,0.0,128,0.78125,1.5625,0.78125,0.0
P16,guilt,110,1.8181818181818181,1.8181818181818181,0.0,0.0,137,0.7299270072992701,0.7299270072992701,0.7299270072992701,0.0
P15,loneliness,103,1.941747572815534,0.0,0.0,0.0,125,1.6,0.0,0.0,0.0
P14,self_doubt,116,1.7241379310344827,1.7241379310344827,0.8620689655172413,0.0,125,0.8,1.6,2.4,0.0
P13,resentment,109,2.7522935779816513,1.834862385321101,0.9174311926605505,0.0,147,2.0408163265306123,2.0408163265306123,2.0408163265306123,0.0
P12,overwhelm,123,0.8130081300813008,1.6260162601626016,0.0,0.8130081300813008,136,1.4705882352941178,0.7352941176470589,2.2058823529411766,0.7352941176470589
P11,rejection,123,2.4390243902439024,2.4390243902439024,0.0,0.8130081300813008,110,0.9090909090909091,2.727272727272727,0.0,0.0
P10,comparison,117,0.8547008547008547,0.0,0.0,0.0,111,1.8018018018018018,0.0,0.9009009009009009,0.9009009009009009
P09,fear,113,0.0,2.6548672566371683,0.0,1.7699115044247788,127,1.5748031496062993,3.1496062992125986,0.0,1.5748031496062993
P08,attachment,123,0.8130081300813008,1.6260162601626016,4.065040650406504,2.4390243902439024,104,0.9615384615384616,3.8461538461538463,0.9615384615384616,0.9615384615384616
P07,validation,95,1.0526315789473684,1.0526315789473684,0.0,0.0,99,1.0101010101010102,4.040404040404041,0.0,0.0
P06,anger,143,1.3986013986013985,2.097902097902098,0.0,0.0,132,0.7575757575757576,3.0303030303030303,1.5151515151515151,0.0
P05,regret,90,3.3333333333333335,1.1111111111111112,0.0,0.0,129,0.7751937984496124,0.0,0.7751937984496124,0.0
P04,anxiety,116,0.8620689655172413,0.8620689655172413,0.0,0.0,140,1.4285714285714286,2.142857142857143,2.857142857142857,0.0
P03,conflict,110,0.0,2.727272727272727,0.0,0.0,105,0.9523809523809523,1.9047619047619047,0.0,0.0
P02,jealousy,122,1.639344262295082,0.0,0.819672131147541,0.0,138,0.0,0.7246376811594203,1.4492753623188406,0.0
P19,helplessness,119,0.8403361344537815,2.5210084033613445,2.5210084033613445,0.0,132,1.5151515151515151,1.5151515151515151,1.5151515151515151,0.0
P20,perfectionism,113,0.8849557522123894,0.8849557522123894,1.7699115044247788,0.8849557522123894,124,0.8064516129032258,2.4193548387096775,1.6129032258064515,0.8064516129032258
